Timestamp,Job Type,Question Type,Question,Answer,Relevance Feedback,Tone Feedback,Relevance Score
2025-05-01 22:43:46,Software Engineer,Situational,What would you do if you discovered a critical bug right before deployment?,"If I discovered a critical bug before deployment, I’d immediately report it to the team and halt the release if necessary. Ensuring product quality and user trust is more important than meeting a deadline. I would work to reproduce and isolate the issue, collaborate with QA or relevant developers, and apply a quick but safe fix. Afterward, I'd prioritize writing tests to prevent similar bugs and document the incident for future process improvement.",No learning data available yet.,✅ Positive tone – sounds confident!,0.0
2025-05-01 22:43:46,Software Engineer,Behavioral,Describe a time when you disagreed with your manager. What happened?,"we had a disagreement on what approach to use to complete a task, I politely explained my point, the manager still didn't get so we first tried the manager's approach but when it failed, I made him re-analyze the approach and he understood my stand and appreciated my farsightedness, then we followed my idea and it led to success",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-01 22:43:46,Software Engineer,Technical,"Explain a project where you used version control (e.g., Git).",I have used git for my personal projects and multiple office projects so that I can freely code without the stress of losing the code that I previously have finalized. I have used GitHub to upload my git repositories for my peers to review and to showcase my skills,No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-01 22:43:46,Software Engineer,Technical,How do you approach writing scalable code?,"I follow principles like modularity, DRY (Don’t Repeat Yourself), and separation of concerns. I prefer stateless components and services where possible, and I use design patterns like caching, batching, and lazy loading to optimize performance. I also consider future extensibility by writing clear, well-documented code and using unit tests to ensure reliability.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-01 22:43:46,Software Engineer,General,How do you handle stress and pressure?,"I break large tasks into smaller, manageable pieces and prioritize based on impact and urgency. During high-pressure situations, I focus on staying calm, communicating clearly with teammates, and avoiding burnout through short breaks and structured planning. I also remind myself of the bigger picture and my long-term goals, which helps me maintain perspective.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-01 22:43:46,Software Engineer,General,How do you stay up to date with technology?,"I regularly read developer blogs, follow GitHub projects, and stay active on platforms like Stack Overflow and Medium. I also take courses on platforms like Coursera and Udemy to learn new frameworks and tools. Participating in online communities and hackathons helps me stay engaged and experiment with new technologies hands-on.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-01 22:43:46,Software Engineer,General,Why should we hire you?,"because I am competent individual who has love for learning new technologies, tools and am very adaptable to different situations. I am able to handle stress, and collaborate well with my teammates.",No learning data available yet.,✅ Positive tone – sounds confident!,0.0
2025-05-01 22:43:46,Software Engineer,General,Tell me about yourself.,"I’m an aspiring software engineer with a strong academic record and a deep interest in building impactful applications. I’ve worked on projects ranging from educational platforms to interview simulators using tools like Django, Streamlit, and PostgreSQL. I thrive in collaborative environments and always look for ways to improve both my code and team processes.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-01 22:43:46,Software Engineer,General,Tell me about yourself.,"I’m an aspiring software engineer with a strong academic record and a deep interest in building impactful applications. I’ve worked on projects ranging from educational platforms to interview simulators using tools like Django, Streamlit, and PostgreSQL. I thrive in collaborative environments and always look for ways to improve both my code and team processes.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-01 22:43:46,Software Engineer,Situational,How would you approach a new technology you've never used before?,I start by understanding the fundamentals—reading official documentation and beginner tutorials. I like to get hands-on quickly by building a small project or replicating a simple example. I also seek advice from online communities or colleagues if needed. My goal is to break the learning into chunks and connect it with what I already know.,No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-03 19:42:05,Frontend Developer,General,How do you handle stress and pressure?,"In times of stress and pressure, I tend to prioritize my tasks and get done with the important and crucial ones first and work late to finish the rest if time permits",Moderately relevant (similarity score: 0.62),😐 Neutral – consider showing more enthusiasm or details.,0.62
2025-05-03 19:42:05,Frontend Developer,Behavioral,Tell me about a time you optimized a web page's performance.,"In my final year project, I had to develop a game interface for my web application. At first the game was very slow so to optimize its performance, I used Devtools to figure what factors are taking most of the main thread, then I tried to reduce the main thread load which automatically made my game faster",Low relevance (similarity score: 0.36),😐 Neutral – consider showing more enthusiasm or details.,0.36
2025-05-03 19:42:05,Frontend Developer,General,Tell me about yourself.,"I am a talented and skilled software engineer who excels at programming quality code and designing quality software. I took my early education from Pakistan International School Jeddah and completed college from Askaria College and took a bachelor's degree from Islamic University. I have hands on experience with programming languages of python, C++ and java. And in the future I hope of becoming a successful developer with expertise in any kind of frontend task",Moderately relevant (similarity score: 0.59),✅ Positive tone – sounds confident!,0.59
2025-05-03 19:42:05,Frontend Developer,General,Why should we hire you?,"because I am competent individual who has love for learning new technologies, tools and am very adaptable to different situations. I am able to handle stress and collaborate well with my teammates.",Highly relevant (similarity score: 1.00),✅ Positive tone – sounds confident!,1.0
2025-05-03 19:42:05,Frontend Developer,General,What do you know about our company?,"that it is a rapidly growing software house, it was a startup of few university students but now it has become a IT giant. the founding of this company is a success story in its own to inspire the new generation of IT students",No relevant data found.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-03 19:42:05,Frontend Developer,General,How do you stay up to date with technology?,I regularly use tools like chatGPT to find out about new technologies being introduced almost every day and try to blend the use of those technologies in my day-to-day activities to become better at them.,Moderately relevant (similarity score: 0.51),✅ Positive tone – sounds confident!,0.51
2025-05-03 19:42:06,Frontend Developer,Technical,How do you ensure cross-browser compatibility in your projects?,"I don't care about that. Besides, most programming languages like javascript and php are already compatible with all kinds of browsers, it's not much of a problem",Low relevance (similarity score: 0.28),😐 Neutral – consider showing more enthusiasm or details.,0.28
2025-05-03 19:42:06,Frontend Developer,General,What kind of company culture do you thrive in?,"I don't know what a company culture is, cultures exist amongst societies, not companies, do they? ",No relevant data found.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-03 19:42:06,Frontend Developer,Behavioral,What's your approach to working with designers and translating mockups to code?,"My approach is simple, throw the mockups away, they are pretty much useless when it comes to code. They're so complicated and most of the designers make so many mistakes which are hazardous to translate, better stay away from them instead",No relevant data found.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-03 19:42:06,Frontend Developer,General,What are your salary expectations?," I guess 20,000 to 30,000?",No relevant data found.,😐 Neutral – consider showing more enthusiasm or details.,0.0
2025-05-06 10:55:17,Frontend Developer,General,Where do you see yourself in 5 years?,I see myself becoming a mentor for future recruits and working and thriving in my work environment here.,"Highly relevant (model match, similarity: 0.67, relevance score: 0.90)",✅ Positive tone – sounds confident!,0.9
2025-05-06 10:55:17,Frontend Developer,General,Do you prefer working independently or in a team?,I prefer to work independently but I can work in a team if the work environment permits it.,"Low relevance (model match, similarity: 0.66, relevance score: 0.30)",😐 Neutral – consider showing more enthusiasm or details.,0.3
2025-05-06 10:55:18,Frontend Developer,Behavioral,Tell me about a time you optimized a web page's performance.,"I optimized a web page's performance and the key factor that led to better performance was reducing main thread load, which was taken over by scripting. When I fixed that problem, the webpage was automatically optimized","Highly relevant (model match, similarity: 0.57, relevance score: 0.90)",😐 Neutral – consider showing more enthusiasm or details.,0.9
2025-05-06 10:55:18,Frontend Developer,General,What do you know about our company?,I know that this company is the best and one of the top 10 performers of the year 2020. I also heard that the reason for your success is timely delivery of your products and exclusive maintenance programs and cultural diversity which is also one of the reasons why I chose to be here,Moderately relevant (similarity score: 0.51),✅ Positive tone – sounds confident!,0.51
